"nombre","run","serie","tipoentidad","row","categoria","instrumento"
"FONDO MUTUO BICE BONOS LATAM","8750","K","RGFMU","AAAw+cAAhAABPt9AAm","Renta Fija - > 365 dias","CFM"
"FONDO MUTUO BICE BONOS LATAM","8750","LIQUIDEZ","RGFMU","AAAw+cAAhAABPt9AAm","Renta Fija - > 365 dias","CFM"
"FONDO MUTUO BICE CONSERVADOR","8295","CLASICA","RGFMU","AAAw+cAAhAAAACbAAZ","Balanceados - Conservador","CFM"
"FONDO MUTUO BICE CONSERVADOR","8295","D","RGFMU","AAAw+cAAhAAAACbAAZ","Balanceados - Conservador","CFM"
"FONDO MUTUO BICE CONSERVADOR","8295","E","RGFMU","AAAw+cAAhAAAACbAAZ","Balanceados - Conservador","CFM"
"FONDO MUTUO BICE CONSERVADOR","8295","G","RGFMU","AAAw+cAAhAAAACbAAZ","Balanceados - Conservador","CFM"
"FONDO MUTUO BICE CONSERVADOR","8295","INSTITUCIO","RGFMU","AAAw+cAAhAAAACbAAZ","Balanceados - Conservador","CFM"
"FONDO MUTUO BICE CONSERVADOR","8295","LARGOPLAZO","RGFMU","AAAw+cAAhAAAACbAAZ","Balanceados - Conservador","CFM"
"FONDO MUTUO BICE CONSERVADOR","8295","LIQUIDEZ","RGFMU","AAAw+cAAhAAAACbAAZ","Balanceados - Conservador","CFM"
"FONDO MUTUO BICE DIGITAL ACCIONES CHILE ACTIVO","10369","DIGITAL","RGFMU","AAAw+cAAhAABQKHAA+","Renta Variable - All/Large Cap","CFM"
"FONDO MUTUO BICE DIGITAL ACCIONES MUNDO SUSTENTABLE","10370","DIGITAL","RGFMU","AAAw+cAAhAABQKCAA+","Renta Variable - All/Large Cap","CFM"
"FONDO MUTUO BICE DIGITAL AGRESIVO","10049","DIGITAL","RGFMU","AAAw+cAAhAABQKGAAU","Balanceados - Conservador","CFM"
"FONDO MUTUO BICE DIGITAL BALANCEADO","10048","DIGITAL","RGFMU","AAAw+cAAhAABQKBAAS","Balanceados - Moderado","CFM"
"FONDO MUTUO BICE DIGITAL CONSERVADOR","10050","DIGITAL","RGFMU","AAAw+cAAhAABQKGAAV","Balanceados - Moderado","CFM"
"FONDO MUTUO BICE DIGITAL LIQUIDEZ PESOS","10368","DIGITAL","RGFMU","AAAw+cAAhAABQKHAA9","Renta Fija - < 365 dias","CFM"
"FONDO MUTUO BICE DIGITAL RENTA UF","10367","DIGITAL","RGFMU","AAAw+cAAhAABQKCAA9","Renta Fija - > 365 dias","CFM"
"FONDO MUTUO BICE LIQUIDEZ DÓLAR","8506","CLASICA","RGFMU","AAAw+cAAhAABPt/AA1","Money Market","CFM"
"FONDO MUTUO BICE LIQUIDEZ DÓLAR","8506","INSTITUCIO","RGFMU","AAAw+cAAhAABPt/AA1","Money Market","CFM"
